text,label,spacy_label
destruction of abnormality of one side of voice box using a flexible endoscope,,
biopsy of voice box using a flexible endoscope,biopsy,
"abdominal removal of uterus (greater than 250 grams), tubes, and/or ovaries using an endoscope",abdominal uterus,uterus tubes ovaries
destruction of trigeminal (facial) nerve branch,nerve,trigeminal
"injection, amikacin sulfate, 100 mg",,amikacin sulfate
imaging of organ,,organ
gabapentin level,,gabapentin
tobramycin (antibiotic) level,,tobramycin
hla class ii typing low resolution one locus,,hla class
biochemical assays for evaluation of chronic hepatitis c virus infection,infection,
aluminum level,,aluminum
cadmium level,,cadmium
chromium level to test for poisoning or deficiency,,chromium
estriol (hormone) level,,estriol (hormone)
stool fat measurement,,stool fat
"hydroxyprogesterone, 17-d (synthetic hormone) level",,hydroxyprogesterone
"myelin basic protein (nerve protein) level, spinal fluid",,myelin basic protein spinal
measurement of immune substance (oligoclonal bands),,immune substance
oncoprotein (cancer related gene) measurement,,cancer
"total protein level, body fluid",,body fluid
selenium (vitamin) level,,selenium vitamin
sodium level,,sodium
vitamin measurement,,vitamin
clotting factor ix (ptc or christmas) measurement,,ptc
clotting factor x (stuart-prower) measurement,,stuart-prower
fibrinogen (factor 1) antigen detection,,fibrinogen factor 1
plasminogen activator (fibrinolytic factor) measurement,,plasminogen activator fibrinolytic factor
hematology and coagulation procedures,,
measurement of antibody (igg) to allergic substance,,igg
immunologic analysis technique,,
inhibin a (reproductive organ hormone) measurement,,inhibin organ
analysis for antibody to blastomyces (fungus),,
confirmation test for antibody to borrelia burgdorferi (lyme disease bacteria),,borrelia burgdorferi
analysis for antibody to brucella (bacteria),,
analysis for antibody to diphtheria (bacteria),,
analysis for antibody to helminth (intestinal worm),,intestinal
analysis for antibody to histoplasma (fungus),,
analysis for antibody to hiv -1 virus,,hiv -1 virus
analysis for antibody to hiv-2 virus,,
analysis for antibody (igm) to toxoplasma (parasite),,igm
identification of mycobacteria (tb or tb like organism),,
detection test for histoplasma capsulatum (parasite),,
detection test for rotavirus,,
analysis test for hiv-1 virus,,
analysis test for hepatitis b virus,,
"screening papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision",cervical,cervical
"injection, paliperidone palmitate extended release, 1 mg",,paliperidone palmitate
destruction of soft tissue of nasal passages,nasal,soft tissue nasal
vocal cord injection using an endoscope,injection,cord
"injection, mannitol, 25% in 50 ml",,mannitol
"injection, bevacizumab-awwb, biosimilar, (mvasi), 10 mg",,
evaluation of single or dual chamber pacing cardioverter-defibrillator at time of implantation or replacement,,cardioverter-defibrillator
"inactivated quadrivalent influenza vaccine for injection into muscle, 0.25 ml dosage",injection,muscle
breast procedure,breast,breast
gene analysis (5-hydroxytryptamine receptor 2a) for common variants,,5-hydroxytryptamine receptor 2a
"gene analysis (udp glucuronosyltransferase 1 family, polypeptide a1) common variants",,udp glucuronosyltransferase 1
hla class i typing high resolution one locus,,hla class i
manganese (heavy metal) level,,manganese
nickel level,,
specific gravity (liquid weight) measurement,,
thyroxine binding globulin (thyroid related protein) level,,thyroxine globulin thyroid
confirmation test for hepatitis c antibody,,c antibody
laser treatment (250 to 500 sq centimeters) for inflammatory skin disease,,skin
"injection, decitabine, 1 mg",,decitabine
"injection, atezolizumab, 10 mg",,
"injection, rituximab 10 mg and hyaluronidase",,rituximab
"preparation with instillation of fecal microbiota by any method, including assessment of donor specimen",,
nuclear medicine study heart muscle with metabolic evaluation,heart,nuclear heart muscle
removal of indwelling stent in urinary duct (ureter) including radiological supervision and interpretation,,urinary duct
injection procedure for x-ray imaging of kidney and urinary duct (ureter) using imaging guidance including radiological supervision and interpretation,injection,kidney urinary duct
removal of fluid-filled sac (bursa) or calcium deposit of pelvis,pelvis,sac bursa calcium pelvis
reconstruction of hip socket and repair of thigh bone using an endoscope,,socket thigh bone
inhaled pneumonia treatment,,
"destruction of 1 or more growths in liver, accessed through the skin",,liver skin
macroscopic examination (visual inspection) of insect,,
fatty acids measurement,,
glutathione (protein) level,,glutathione
carbohydrate (sugar) analysis,,sugar
x-ray of voice box or throat,,throat
open treatment of broken and/or dislocated upper spine bones,spine,upper spine
"fusion of spine bones at skull base, posterior approach",spine,spine bones skull
"insertion of hardware to stabilize broken thigh bone or separated growth plate, accessed through the skin",,thigh bone skin
placement of graft for repair of aorta including radiological supervision and interpretation,,graft aorta
"injection, belimumab, 10 mg",,
biopsy of lung lining using an endoscope,biopsy,biopsy lung
partial removal of chest cavity lining and lung using an endoscope,chest,chest cavity lung
removal of lining of lung using an endoscope,,lung
repair of separation of chest bone,chest,
daily management of external vein to artery blood circulation in heart and lungs using a pump,artery heart,vein blood heart lungs
severing of shoulder tendon to repair contracture,shoulder tendon,
incision to repair upper arm bone,incision,upper
"iodine i-123 sodium iodide, diagnostic, per 100 microcuries, up to 999 microcuries",,iodine i-123 sodium iodide
"destruction of growths in one lung, accessed through the skin",,lung skin
placement of graft for repair of aorta and groin artery including radiological supervision and interpretation,artery,graft aorta groin artery
bypass of diseased or blocked artery (lower leg to lower leg artery),artery,artery leg artery
biopsy of nerve,biopsy nerve,
"injection, hyaluronidase, recombinant, 1 usp unit",,
incision of deep thigh tissue for graft,incision,thigh tissue graft
removal of cheek bone and skull to approach brain lesion,brain,cheek bone brain
relocation of tendon of forearm and/or wrist with grafts,tendon,tendon forearm grafts
removal of rectal growth,,rectal
detection test for clostridium difficile toxin a (bacteria),,clostridium difficile toxin
"image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fractionated treatment",,
"mri scan bones of the eye, face, and/or neck",mri neck,bones eye
"ez-derm, per square centimeter",,
repair through the vagina of vaginal wall defect,,vagina vaginal wall
vaginal removal of uterus (250 grams or less),uterus,uterus
"removal of kidney, lymph nodes, and/or blood clot from major vein (vena cava) with partial removal of urinary duct (ureter), open procedure",,kidney lymph nodes blood clot urinary duct
partial removal of kidney,,kidney
"insertion of central venous catheters for infusion, two catheters in two veins",,central venous catheters catheters veins
"removal of blood clot in heart artery, accessed through the skin",heart,blood clot heart artery skin
therapy for reduction of lower heart chamber defect via catheter accessed through the skin,catheter heart,heart skin
interpretation and report of congenital heart ultrasound examination using esophageal probe,ultrasound heart,heart esophageal
mrna gene analysis of 11 genes in breast tumor tissue,tumor breast,breast tumor tissue
gene analysis (cancer),,cancer
preparation of specimen using laser,,
hearing test for children,,children
removal of lower spine sympathetic nerves,spine,spine sympathetic nerves
removal of finger or toe sympathetic nerve,nerve,
examination of nasal passages and sinus using an endoscope via sinus puncture,nasal,nasal sinus puncture
closed treatment of broken finger or thumb,,
volatile chemical measurement,,
impression and custom preparation of lower jaw bone prosthesis,,bone
removal of growth in lung airways using an endoscope,,lung airways
"telephone or internet assessment and management service provided by consultative physician with verbal and written report, 11-20 minutes of medical consultative discussion and review",,
"injection, bevacizumab, 0.25 mg",,bevacizumab
management of radiation therapy,,
removal of total salivary gland growth or salivary gland with release of facial nerve,nerve,salivary gland salivary gland facial nerve
"group treatment of speech, language, voice, communication, and/or hearing processing disorder",,
puncture aspiration of breast cyst,breast,puncture breast cyst
transit and pressure measurement of stomach through colon with wireless capsule,stomach,stomach colon capsule
insertion of drug agent or packing to control vaginal bleeding,bleeding,vaginal
closed treatment of fracture hand bone,fracture,bone
multiple punctures of cornea,,cornea
surgical exposure of prostate gland for radiation therapy,prostate,prostate gland
